rodeo,dieta,peso_inicial,peso_final
D,Bajo,690,1046
D,Bajo,685,1027
D,Bajo,690,1018
B,Bajo,670,864
B,Bajo,755,1008
B,Bajo,655,979
B,Bajo,725,1085
C,Bajo,750,1037
C,Bajo,705,1123
C,Bajo,785,1171
A,Bajo,685,1018
A,Bajo,655,1027
A,Bajo,750,1152
A,Bajo,715,1142
G,Bajo,785,1104
G,Bajo,795,1152
E,Bajo,640,941
E,Bajo,680,979
E,Bajo,620,931
F,Bajo,765,1133
F,Bajo,750,989
F,Bajo,645,970
F,Bajo,730,1162
D,Medio,665,874
D,Medio,635,874
B,Medio,700,998
B,Medio,715,960
B,Medio,675,979
C,Medio,770,1056
C,Medio,800,1133
A,Medio,685,1027
A,Medio,715,1037
G,Medio,865,1219
G,Medio,845,998
E,Medio,705,1037
E,Medio,725,1075
F,Medio,840,1190
F,Medio,755,1104
D,Alto,680,1018
D,Alto,605,874
D,Alto,665,970
C,Alto,765,1114
A,Alto,720,1018
G,Alto,780,1152
E,Alto,675,1056
E,Alto,705,1066
F,Alto,755,1104
F,Alto,755,1114
