pais,año,mortalidad_infantil,esperanza_de_vida,fecundidad,poblacion,pib
Afganistan,1960,245,52.3,7.38,9035043,20578578591.1355
Albania,1960,115.4,61.8,6.33,1649387,4780191930.74651
Alemania,1960,34,69.3,2.39,72811640,1092795946139.22
Andorra,1960,,72.9,2.55,9510,209377505.2857
Angola,1960,208,41.9,6.86,5231654,17259801295.5084
Antigua y Barbuda,1960,,63.1,4.56,55603,278067528.71013
Arabia Saudita,1960,150,43.8,7.52,2435403,27208696077.2984
Argelia,1960,148.2,40.1,7.54,11424922,55038375142.6011
Argentina,1960,59.87,65.2,3.13,20386045,235370844180.523
Armenia,1960,,61.3,4.73,1863705,12420753443.1414
Australia,1960,20.3,71,3.45,10280813,171810473703.625
Austria,1960,37.3,68.9,2.69,7047274,92330998304.8055
Azerbaiyan,1960,,51.2,5.8,3982706,24072123169.7474
Bahamas,1960,51,63.6,4.94,116317,2215972233.03024
Banglades,1960,176.3,47,6.74,51828660,63956258577.7596
Barbados,1960,69.5,65.2,4.61,230893,1436944977.59982
Barein,1960,134.5,55.7,7.22,165477,1362940415.49432
Belgica,1960,29.5,70,2.55,9102171,123676789113.71
Belice,1960,,63.2,6.5,91318,259254797.2304
Benin,1960,186.9,44.5,6.28,2517286,4445244686.85652
Bielorrusia,1960,,70.2,2.75,8207998,53583123895.3601
Bolivia,1960,173.4,43.3,6.38,3702323,12900948269.3579
Bosnia y Herzegovina,1960,105,62.1,3.99,3281381,8975040398.81101
Botsuana,1960,115.5,48.1,6.6,516165,387392207.4165
Brasil,1960,129.4,57.5,6.09,72388126,297431580887.895
Brunei,1960,63,55.2,7.11,88347,8284272678.03681
Bulgaria,1960,49,68.3,2.29,7862926,38069173501.5284
Burkina Faso,1960,161.3,45,6.26,4778621,4955177952.52846
Burundi,1960,145.1,43.1,6.99,2764258,2334090527.8334
Butan,1960,175,40.5,6.7,224084,258146757.86592
Cabo Verde,1960,,58.2,6.89,210024,251667756.14256
Camboya,1960,,49.1,6.48,5449966,10439982882.4252
Camerun,1960,166.9,24.7,5.71,5159057,9351706080.80237
Canada,1960,27.8,71,3.84,17898790,301916891743.103
Catar,1960,94,56.9,6.64,36010,1005911763.0991
Chad,1960,,45.2,6.25,3049838,4100702289.13686
Chile,1960,127.6,55.2,4.92,8153350,61456547216.4395
China,1960,190,26.4,4.33,654802069,597836868917.152
Chipre,1960,30,64.3,3.42,586490,2537760305.6218
Cisjordania y Gaza,1960,,56.9,7.77,1073081,2549690858.61457
Colombia,1960,89.3,58.4,6.75,15606209,72831886411.5188
Comoras,1960,200,51.4,6.79,197700,174045104.058
Corea del Norte,1960,85,61.5,3.57,11722953,16442300406.0368
Corea del Sur,1960,80.2,56.4,5.99,26115379,46032039845.1693
Costa Rica,1960,86.54,64.9,6.86,1327496,7077433321.41128
Costa de Marfil,1960,208.4,44.3,7.61,3673666,10071616646.8626
Croacia,1960,70,64.6,2.26,4200264,30987364284.7596
Cuba,1960,37,70.7,4.14,7238081,32593089455.3599
Dinamarca,1960,21.3,72.3,2.56,4579342,78577068544.2034
Dominica,1960,85.3,60.9,6.18,59372,114770442.21688
Ecuador,1960,121.4,55.8,6.71,4590891,20746642355.5822
Egipto,1960,209.6,48.7,6.75,26896479,54785959597.8278
El Salvador,1960,126.2,53.6,6.65,2791459,10071985120.9145
Emiratos Arabes Unidos,1960,137.3,52.4,6.61,131334,402745269.48852
Eritrea,1960,,37.4,6.59,972547,899981592.10234
Eslovenia,1960,37,66.1,2.22,1605074,15570392040.0369
Espana,1960,47.7,69.3,2.8,30404939,204113965826.344
Estados Unidos,1960,25.9,69.9,3.72,180274555,3721946259574.94
Estonia,1960,40,69.2,1.98,1220453,13111329251.7921
Etiopia,1960,162,42.9,6.61,21376693,17373454263.6253
Filipinas,1960,67.9,62.2,7.03,27891897,77084545942.0902
