variedad,ubicacion,rendimiento
Diana,Bush,37.4
Estima,Bush,43.4
Foxton,Bush,37.9
Kingston,Bush,50
Kirsty,Bush,37
Morene,Bush,44.7
PCrown,Bush,42.9
Record,Bush,38.3
RodePipo,Bush,45.3
Diana,Cambridge,54.8
Estima,Cambridge,43.4
Foxton,Cambridge,47.5
Kingston,Cambridge,49.5
Kirsty,Cambridge,56.5
Morene,Cambridge,51.1
PCrown,Cambridge,50.7
Record,Cambridge,43.5
RodePipo,Cambridge,51.3
Diana,Conon Bridge,41
Estima,Conon Bridge,39
Foxton,Conon Bridge,23.7
Kingston,Conon Bridge,51.9
Kirsty,Conon Bridge,34
Morene,Conon Bridge,42
PCrown,Conon Bridge,42.9
Record,Conon Bridge,34.9
RodePipo,Conon Bridge,37.7
Diana,Crossacreevy,33.8
Estima,Crossacreevy,38.3
Foxton,Crossacreevy,23.5
Kingston,Crossacreevy,40.2
Kirsty,Crossacreevy,37.2
Morene,Crossacreevy,37.9
PCrown,Crossacreevy,35.4
Record,Crossacreevy,28.4
RodePipo,Crossacreevy,30.4
Diana,Cockle Park,44.7
Estima,Cockle Park,43.9
Foxton,Cockle Park,33.7
Kingston,Cockle Park,49.6
Kirsty,Cockle Park,40.9
Morene,Cockle Park,39.1
PCrown,Cockle Park,40.4
Record,Cockle Park,37.3
RodePipo,Cockle Park,41.9
Diana,Craibstone,41.6
Estima,Craibstone,40.5
Foxton,Craibstone,23.5
Kingston,Craibstone,44.2
Kirsty,Craibstone,38.4
Morene,Craibstone,41.4
PCrown,Craibstone,40.1
Record,Craibstone,32.4
RodePipo,Craibstone,43.1
Diana,Craibstone,36
Estima,Craibstone,41.8
Foxton,Craibstone,38.1
Kingston,Craibstone,36.7
Kirsty,Craibstone,33.6
Morene,Craibstone,44.8
PCrown,Craibstone,39
Record,Craibstone,35.9
RodePipo,Craibstone,34.1
Diana,Greenmount,42
Estima,Greenmount,46.1
Foxton,Greenmount,26
Kingston,Greenmount,52.3
Kirsty,Greenmount,47
Morene,Greenmount,52.8
PCrown,Greenmount,51.3
Record,Greenmount,41.4
RodePipo,Greenmount,44.4
Diana,Harper Adams,49
Estima,Harper Adams,47.8
Foxton,Harper Adams,39.7
Kingston,Harper Adams,57.6
Kirsty,Harper Adams,61.3
Morene,Harper Adams,43
PCrown,Harper Adams,51.7
Record,Harper Adams,44.4
RodePipo,Harper Adams,50.2
Diana,Morley,41.5
Estima,Morley,44.5
Foxton,Morley,48.2
Kingston,Morley,54.9
Kirsty,Morley,65.2
Morene,Morley,54
PCrown,Morley,49.3
Record,Morley,44.1
RodePipo,Morley,59.2
Diana,Sutton Bonnington,54
Estima,Sutton Bonnington,54.9
Foxton,Sutton Bonnington,54.4
Kingston,Sutton Bonnington,49.5
Kirsty,Sutton Bonnington,51.5
Morene,Sutton Bonnington,58.7
PCrown,Sutton Bonnington,55.3
Record,Sutton Bonnington,36
RodePipo,Sutton Bonnington,55.3
Diana,Terrington,40.6
Estima,Terrington,36.4
Foxton,Terrington,37.2
Kingston,Terrington,37.8
Kirsty,Terrington,37.2
Morene,Terrington,46
PCrown,Terrington,44.7
Record,Terrington,36.3
RodePipo,Terrington,38.9
