dias,rendimiento,variedad
17,3518,A
13,4035,A
25,3919,A
16,4106,A
2,4334,A
6,4306,A
24,3773,A
30,3866,A
11,4227,A
6,4282,A
30,3963,A
19,4047,A
23,3997,A
15,4073,A
21,4047,A
22,4131,A
14,4120,A
23,4057,A
28,3655,A
19,3931,A
19,4208,A
7,4036,A
9,4208,A
27,3918,A
28,3972,A
16,3964,A
27,3881,A
8,3930,A
3,4359,A
26,3787,A
16,3981,A
22,3794,A
23,4015,A
28,3926,A
2,4279,A
5,4541,A
16,4117,A
21,4124,A
9,4477,A
3,4210,A
8,4316,A
3,4456,A
8,4194,A
19,4035,A
29,3641,A
25,3985,A
4,4183,A
24,4060,A
20,3863,A
19,4035,A
26,3760,A
7,4183,A
17,3770,A
25,3933,A
3,4456,A
2,4352,A
5,4002,A
15,3940,A
15,4282,A
30,4030,A
10,3968,A
22,3917,A
25,3967,A
17,4051,A
3,4221,A
25,3771,A
16,3990,A
9,4321,A
20,3988,A
12,3998,A
5,4191,A
17,4245,A
3,4241,A
15,4148,A
22,4193,A
5,4334,A
6,4181,A
18,3987,A
30,3685,A
19,4171,A
18,3971,A
23,4190,A
11,4035,A
16,3920,A
6,4266,A
7,4224,A
8,4119,A
4,4051,A
11,4124,A
29,3685,A
15,4195,A
17,3860,A
11,4289,A
7,4123,A
10,4188,A
24,4072,A
11,4042,A
3,4391,A
26,3874,A
18,3823,A
11,4079,A
24,4181,A
1,4307,A
8,4072,A
8,4187,A
22,4021,A
10,4288,A
5,4439,A
20,4000,A
12,4270,A
10,4030,A
20,3633,A
1,4268,A
29,3715,A
22,3625,A
6,4328,A
27,3740,A
3,4274,A
4,4050,A
4,4371,A
11,4403,A
3,4176,A
1,4322,A
19,4279,A
29,3933,A
1,4626,A
30,3758,A
25,3891,A
28,3749,A
12,4311,A
29,3600,A
19,4033,A
10,4137,A
21,4319,A
13,3982,A
12,3869,A
29,3828,A
1,4333,A
21,3855,A
13,4093,A
10,4103,A
22,3870,A
13,4148,A
27,3808,A
8,3920,A
18,3595,A
23,3870,A
2,4543,A
24,4063,A
6,4426,A
25,4061,A
21,4029,A
14,3826,A
6,4275,A
5,4507,A
11,3610,A
14,3935,A
28,3991,A
28,3905,A
9,4288,A
20,4053,A
20,4065,A
1,4341,A
1,4202,A
15,3849,A
6,4250,A
30,3696,A
21,3846,A
10,4207,A
2,4348,A
11,4339,A
25,3746,A
18,3916,A
12,4084,A
11,3908,A
19,3944,A
5,4161,A
25,3592,A
2,4282,A
6,4164,A
2,4495,A
5,4176,A
30,3843,A
23,3979,A
13,3887,A
26,3943,A
20,3969,A
5,4292,A
9,4268,A
23,3974,A
27,4095,A
6,4261,A
15,3845,A
22,4083,A
20,3801,A
9,3882,A
2,4203,A
11,4008,A
24,3847,A
12,4337,A
